VRSTA SMJESTAJA,PODRUCJE,LOKACIJA,BROJ SPAVACIH SOBA,BROJ KUPATILA,CIJENA,STAMBENA POVRSINA,ZEMLJISTE,PARKING MJESTA,OD MORA,NOVOGRADNJA,KLIMA,NASLOV,OPIS,OGLASIO,MOBILNI,BROJ OGLASA,ZADNJA PROMJENA,SLIKE,URL
Prodajem Hotel,Podgorica,Centar,10,Nema Podataka,€2.000.000,Nema Podataka,1.224 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Centar, Podgorica, €2.000.000","Za prodaju hotel 1224m2, Centar.",https://www.dom-home.me/me/details/...DOM-HOME,"IZDAVANJE: Ivan: +382 67 316 017; Goran: +382 67 822 822; Nemanja: +382 67 316 018; PRODAJA: Goran: +382 67 822 822; Dražen: +382 67 316 019; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008;  web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2402154 (4646),"24 Sep, 2020",/c_images/2402154_1_1600850584-dsc_0034_-medium-.jpg,https://www.realitica.com/hr/listing/2402154
Prodajem Hotel,Bar,Šušanj,10,9,€330.000,Nema Podataka,368 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Šušanj, Bar, €330.000","Za prodaju apart-hotel 368m2, Bar (Šušanj).",https://www.dom-home.me/me/details/...DOM-HOME,"IZDAVANJE: Ivan: +382 67 316 017; Goran: +382 67 822 822; Nemanja: +382 67 316 018; PRODAJA: Goran: +382 67 822 822; Dražen: +382 67 316 019; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008;  web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2339256 (4259),"4 Jul, 2020",/c_images/2339256_1_1593693744-6.jpg,https://www.realitica.com/hr/listing/2339256
Prodajem Hotel,Bar,Ilino,10,8,€530.000,Nema Podataka,625 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Ilino, Bar, €530.000","Hotel se nalazi u mirnom dijelu grada, udaljenom 350 m od šetališta Bara i 1400 m od centra grada.U hotelu postoje četiri nivoa sa pet zasebnih stanova.",https://www.dom-home.me/me/details/...DOM-HOME,"IZDAVANJE: Ivan: +382 67 316 017; Goran: +382 67 822 822; Nemanja: +382 67 316 018; PRODAJA: Goran: +382 67 822 822; Dražen: +382 67 316 019; Savo: +382 67 316 009; POSLOVNICA BAR: Slobodan: +382 67 316 008;  web site: www.dom-home.me; mail: office@dom-home.me; We're multi language speaking stuff +382 67 822 822, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2328608 (4189),"21 Jun, 2020",/c_images/2328608_1_1592687331-41.jpg,https://www.realitica.com/hr/listing/2328608
Prodajem Hotel,Kotor,Kotor,5,Nema Podataka,€850.000,Nema Podataka,Nema Podataka,Nema Podataka,"50
									",Nema Podataka,Nema Podataka,"Prodajem Hotel, Kotor",4 sprata. Dvoriste.,Dragoljub,+38268510759,2471581,"22 Dec, 2020","https://www.realitica.com/images/listing_photos/2471581_763c64be-31be-4afc-a8a1-68ac2e4e46ab.jpeg,https://www.realitica.com/images/listing_photos/2471581_323e7b2e-fdbd-4a6a-93c8-3dc40f713134.jpeg,https://www.realitica.com/images/listing_photos/2471581_dfad5519-538f-4d0f-8522-269fda4cf2d9.jpeg,https://www.realitica.com/images/listing_photos/2471581_e8921385-90bc-441b-96e2-8d4d8294cfde.jpeg,https://www.realitica.com/images/listing_photos/2471581_6cec8e85-fc2b-4f78-9be9-1877f169d67e.jpeg",https://www.realitica.com/hr/listing/2471581
Prodajem Hotel,Bar,Bar,10,8,€265.000,400 m,300 m,1,1200,								,Nema Podataka,"Prodajem Hotel, Bar",HITNO ,Dragoljub,+38268510759,1190093,"16 Dec, 2020","https://www.realitica.com/images/listing_photos/1190093_img_6172.jpg,https://www.realitica.com/images/listing_photos/1190093_img_6174.jpg,https://www.realitica.com/images/listing_photos/1190093_img_6175.jpg,https://www.realitica.com/images/listing_photos/1190093_img_6176.jpg",https://www.realitica.com/hr/listing/1190093
Prodajem Hotel,Kotor,Dobrota,Nema Podataka,Nema Podataka,€690.000,339 m,457 m,Nema Podataka,"200
									",Nema Podataka,Nema Podataka,Mini hotel sa pet velikih apartmana i bazenom,"Gradnja je zavrsena 2011.godine, i nekretnina je u odlicnom stanju bez potrebe za dodatnim ulaganjem. ",Ivan,Nema Podataka,1376762,"12 Jan, 2021","https://www.realitica.com/images/listing_photos/1376762_4.jpg,https://www.realitica.com/images/listing_photos/1376762_1.jpg,https://www.realitica.com/images/listing_photos/1376762_1-25-670x446.jpg,https://www.realitica.com/images/listing_photos/1376762_3.jpg",https://www.realitica.com/hr/listing/1376762
Prodajem Hotel,Tivat,Tivat,12,12,Nema Podataka,363 m,337 m,Nema Podataka,1,Nema Podataka,Nema Podataka,Hotel pored mora sa 12 soba,"Nalazi se na odlicnoj lokaciji, neposredno na gradskom setalistu. Ima ukupno cetiri nivoa sa 12 studio apartmana, i sarmantan restoran u prizemlju. U osnovi zaprema 120 m2 sto daje jos oko 217 m2 prelijepog dvorista. ",Ivan,Nema Podataka,1231519,"12 Jan, 2021","https://www.realitica.com/images/listing_photos/1231519_1.jpg,/b_images/1231519_8247-tivat-hotel-1-670x446.jpg,/b_images/1231519_1_------------1-603x446.jpg,/b_images/1231519_8247-tivat-hotel-5-670x446.jpg",https://www.realitica.com/hr/listing/1231519
Prodajem Hotel,Herceg Novi,Topla,7,6,€400.000,327 m,Nema Podataka,Nema Podataka,"2000
									",Nema Podataka,Nema Podataka,Nov mini hotel u funkciji,"Sastoji se od cetiri komforna stana sa ukupno 7 velikih spavacih soba, 6 kupatila, komfornim dnevnim boravcima, kuhinjama sa trpezarijama...  ",Ivan,Nema Podataka,2175829,"12 Jan, 2021","https://www.realitica.com/images/listing_photos/2175829_------------------------------12208-24_1600x1082-670x446.jpg,https://www.realitica.com/images/listing_photos/2175829_------------------------------12208-20_1600x1067-670x446.jpg,https://www.realitica.com/images/listing_photos/2175829_------------------------------12208-30_1600x1068-670x446.jpg,https://www.realitica.com/images/listing_photos/2175829_------------------------------12208-29_1600x1066-670x446.jpg",https://www.realitica.com/hr/listing/2175829
Prodajem Hotel,Herceg Novi,Kamenari,8,5,€499.000,340 m,940 m,8,"350
									",Nema Podataka,Nema Podataka,Zgrada sa pet apartmana idealna za mini hotel,"U Kamenarima, na oko 150m od mora, prodaje se u potpunosti zavrsena i opremljena zgrada.",Ivan,Nema Podataka,2316233,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/2316233_5_1067x800.jpg,https://www.realitica.com/images/listing_photos/2316233_3_1067x800.jpg,https://www.realitica.com/images/listing_photos/2316233_1_1067x800.jpg,https://www.realitica.com/images/listing_photos/2316233_6_1067x800.jpg",https://www.realitica.com/hr/listing/2316233
Prodajem Hotel,Budva Okolina,Rafailovići,10,Nema Podataka,€650.000,200 m,130 m,Nema Podataka,"50
									",Nema Podataka,Nema Podataka,Apart hotel sa deset soba u srcu Rafailovica,"Ova izuzetna kamena nekretnina je izvorno sagradjena 1813.godine, a prije dvije godine je kompletno i detaljno renovirana, i spremna za turisticko rentiranje.",Ivan,Nema Podataka,1446109,"28 Dec, 2020","https://www.realitica.com/images/listing_photos/1446109_2.jpg,https://www.realitica.com/images/listing_photos/1446109_1.jpg,https://www.realitica.com/images/listing_photos/1446109_3.jpg,https://www.realitica.com/images/listing_photos/1446109_4.jpg",https://www.realitica.com/hr/listing/1446109
Prodajem Hotel,Budva,Nema Podataka,Nema Podataka,Nema Podataka,€4.500.000,1.200 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €4.500.000","Unikatni hotel, vrhunska nekretnina na fantastičnoj lokaciji.",http://freshestate.me/nekretnine/pr...Fresh Nekretnine,"Mobitel: Izdavanje Podgorica:  Alisa +382 69 355 898; Prodaja kuca i placeva Pg,Dg: Zoran +382 69 274 699, sjever CG: Darko +382 69 120 052, Primorje Miloš +382 69 022 070, Vladimir +382 69 355 886, office: +382 69 223 514 - www.C21fresh.me - www.Freshestate.me - We're multi language speaking stuff, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2452471 (96182),"25 Nov, 2020","/c_images/2452471_1_1-39-1024x720.jpg,/c_images/2452471_2_2-35-1024x720.jpg,/c_images/2452471_3_3-34-1024x720.jpg,/c_images/2452471_4_4-32-1024x720.jpg",https://www.realitica.com/hr/listing/2452471
Prodajem Hotel,Podgorica,Pobrežje,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Pobrežje, Podgorica","Za prodaju ili partnerstvo investicioni kompleks stambeno-poslovne zgrade, hotel i logisticki centar (trgovacki centar)",http://freshestate.me/nekretnine/in...Fresh Nekretnine,"Mobitel: Izdavanje Podgorica:  Alisa +382 69 355 898; Prodaja kuca i placeva Pg,Dg: Zoran +382 69 274 699, sjever CG: Darko +382 69 120 052, Primorje Miloš +382 69 022 070, Vladimir +382 69 355 886, office: +382 69 223 514 - www.C21fresh.me - www.Freshestate.me - We're multi language speaking stuff, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2320227 (14808),"7 Oct, 2020","/c_images/2320227_1_1491759682-4.jpg,/c_images/2320227_2_1491759682-5.jpg,/c_images/2320227_3_1491759682-2.jpg,/c_images/2320227_4_1491759682-Plot.jpg",https://www.realitica.com/hr/listing/2320227
Prodajem Hotel,Cetinje,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Cetinje","Ukupna korisna površina hotela i sadržaji: – suteren 5.822 m2 ( kuglana, noćni bar, vešeraj, kotlarnica…) – prizemlje 5.189 m2 (nacionalni restoran, slastičara, bazen, sauna, restorani, šank bar sa terasom, kongresna dvorana, sale za seminare i sl, kuhinja..) – mezanin 762 m2 (administracija hotela) – galerija 60 m2 (kabina za prevođenje i prateći sadržaji) – trakt A (spratovi 1,2,3,4) 3.320 m2 – trakt B (spratovi 1,2,3) 3.006 m2 (Na spratnim etažama su smještene 202 dvokrevetne sobe i 8 aparmana sa 425 ležaja) Udaljenost doo Budve 29 Km Izgradnja objekta je završena 1984. godine Solarna instalacija (ispravna i u upotrebi) Sopstvena tehnička voda Ukupna površina 18.159 m2

",http://freshestate.me/nekretnine/in...Fresh Nekretnine,"Mobitel: Izdavanje Podgorica:  Alisa +382 69 355 898; Prodaja kuca i placeva Pg,Dg: Zoran +382 69 274 699, sjever CG: Darko +382 69 120 052, Primorje Miloš +382 69 022 070, Vladimir +382 69 355 886, office: +382 69 223 514 - www.C21fresh.me - www.Freshestate.me - We're multi language speaking stuff, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",2320220 (14004),"7 Oct, 2020","/c_images/2320220_1_4213048.jpg,/c_images/2320220_2_4389501.jpg,/c_images/2320220_3_4213183.jpg,/c_images/2320220_4_4213158.jpg",https://www.realitica.com/hr/listing/2320220
Prodajem Hotel,Bar,Sutomore,4,Nema Podataka,€550.000,374 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Sutomore, Bar, €550.000","Mini hotel površine 375m2 na prodaji, Sutomore, 17 soba, 38 ležajeva, plaža na 300m, prodavnica na 100m, autobuska na 150m, željeznička na 200m, kompletno sređen i namješten, površina placa 450m2.

",http://freshestate.me/nekretnine/pr...Fresh Nekretnine,"Mobitel: Izdavanje Podgorica:  Alisa +382 69 355 898; Prodaja kuca i placeva Pg,Dg: Zoran +382 69 274 699, sjever CG: Darko +382 69 120 052, Primorje Miloš +382 69 022 070, Vladimir +382 69 355 886, office: +382 69 223 514 - www.C21fresh.me - www.Freshestate.me - We're multi language speaking stuff, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",1945517 (17058),"6 Oct, 2020","/c_images/1945517_1_1496846883-1.jpg,/c_images/1945517_2_1496846883-3.jpg,/c_images/1945517_3_1496846883-2.jpg,/c_images/1945517_4_1496846883-5.jpg",https://www.realitica.com/hr/listing/1945517
Prodajem Hotel,Kotor,Nema Podataka,Nema Podataka,Nema Podataka,€5.000.000,3.800 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kotor, €5.000.000","Kotor, Bivsa zgrada Jugopetrola, prodaja, površina placa 904m2 od cega je 615m2 pod objektom a ostatak je dvoriste. Objekat je na 6 noivoa, povrsine 3800m2 , idealan da se preuredi u hotel.",http://freshestate.me/nekretnine/pr...Fresh Nekretnine,"Mobitel: Izdavanje Podgorica:  Alisa +382 69 355 898; Prodaja kuca i placeva Pg,Dg: Zoran +382 69 274 699, sjever CG: Darko +382 69 120 052, Primorje Miloš +382 69 022 070, Vladimir +382 69 355 886, office: +382 69 223 514 - www.C21fresh.me - www.Freshestate.me - We're multi language speaking stuff, contact us on @, Viber, WhatsApp, Facebook, Instagram and visit our offices and our site.",1942582 (16821),"6 Oct, 2020","/c_images/1942582_1_1492035367-1.jpg,/c_images/1942582_2_1492035367-2.jpg,/c_images/1942582_3_1492035367-3.jpg,/c_images/1942582_4_1492035367-4.jpg",https://www.realitica.com/hr/listing/1942582
Prodajem Hotel,Kotor,Perast,11,11,€4.299.000,960 m,Nema Podataka,15,300,Nema Podataka,Nema Podataka,"Prodajem Hotel, Perast",Referentni broj 4006,Www.aplaceinmontenegro.com,+38267635107,1733937,"11 Jan, 2021","https://www.realitica.com/images/listing_photos/1733937_1480363078012-4048--9-.jpg,https://www.realitica.com/images/listing_photos/1733937_1480363237646-4048--13-.jpg,https://www.realitica.com/images/listing_photos/1733937_1480363237654-4048--20-.jpg,https://www.realitica.com/images/listing_photos/1733937_1480363077997-4048--6-.jpg",https://www.realitica.com/hr/listing/1733937
Prodajem Hotel,Kotor,Stoliv,26,26,€2.550.000,1.630 m,1.000 m,5,5,Nema Podataka,Nema Podataka,"Prodajem Hotel, Stoliv",Referentni broj 4008,Www.aplaceinmontenegro.com,+38267635107,1733964,"11 Jan, 2021","https://www.realitica.com/images/listing_photos/1733964_1471521216196-4014--1-.jpg,https://www.realitica.com/images/listing_photos/1733964_1471521216203-4014--4-.jpg,https://www.realitica.com/images/listing_photos/1733964_1471521216201-4014--3-.jpg,https://www.realitica.com/images/listing_photos/1733964_1471521316033-4014--13-.jpg",https://www.realitica.com/hr/listing/1733964
Prodajem Hotel,Tivat,Bjelila,7,10,€2.000.000,450 m,350 m,Nema Podataka,5,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bjelila",Referentni broj 4016,https://aplaceinmontenegro.com/prop...Www.aplaceinmontenegro.com,+38267635107,2096914,"2 Jan, 2021","https://www.realitica.com/images/listing_photos/2096914_krasici-waterfront-apart-hotel-7.jpg,https://www.realitica.com/images/listing_photos/2096914_krasici-waterfront-apart-hotel-8.jpg,https://www.realitica.com/images/listing_photos/2096914_krasici-waterfront-apart-hotel-13.jpg,https://www.realitica.com/images/listing_photos/2096914_krasici-waterfront-apart-hotel-16.jpg",https://www.realitica.com/hr/listing/2096914
Prodajem Hotel,Tivat,Lepetane,6,7,€480.000,116 m,335 m,10,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Lepetane",Referentni broj 4011,Www.aplaceinmontenegro.com,+38267635107,1791104,"15 Dec, 2020","https://www.realitica.com/images/listing_photos/1791104_1455526770833-1656--33-.jpg,https://www.realitica.com/images/listing_photos/1791104_1455526414011-1656--32-.jpg,https://www.realitica.com/images/listing_photos/1791104_1455526770839-1656--37-.jpg,https://www.realitica.com/images/listing_photos/1791104_1455526414004-1656--25-.jpg",https://www.realitica.com/hr/listing/1791104
Prodajem Hotel,Tivat,Tivat,12,Nema Podataka,€1.440.000,363 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Tivat",Ref. No. 4004,http://www.aplaceinmontenegro.comWww.aplaceinmontenegro.com,+38267635107,1674960,"11 Jan, 2021","https://www.realitica.com/images/listing_photos/1674960_1507051134-dsc-0001.jpg,https://www.realitica.com/images/listing_photos/1674960_1507051234-dsc-0010.jpg,https://www.realitica.com/images/listing_photos/1674960_1507051245-dsc-0012.jpg,https://www.realitica.com/images/listing_photos/1674960_1507051248-dsc-0004.jpg",https://www.realitica.com/hr/listing/1674960
Prodajem Hotel,Ulcinj,Donji Štoj,33,33,Nema Podataka,Nema Podataka,4.385 m,54,Nema Podataka,								,Nema Podataka,"Prodajem kompleks, Donji Štoj",Prodajemo funkcionalni kompleks koji se prostire na 4.385 m2 i nalazi se u Ulcinju uz glavnu magistralu u Donjem Stoju. ,http://www.remontenegro.me/nekretni...REM D.o.o., +38267800203 +38267800218,2343148,"10 Jan, 2021","https://www.realitica.com/images/listing_photos/2343148_prodaja-kompleks-na-velikoj-plazi--ulcinj-7.jpg,https://www.realitica.com/images/listing_photos/2343148_prodaja-kompleks-na-velikoj-plazi--ulcinj-5.jpg,https://www.realitica.com/images/listing_photos/2343148_prodaja-kompleks-na-velikoj-plazi--ulcinj-8.jpg,https://www.realitica.com/images/listing_photos/2343148_prodaja-kompleks-na-velikoj-plazi--ulcinj--1.jpg",https://www.realitica.com/hr/listing/2343148
Prodajem Hotel,Tivat,"Tivat
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Tivat","Ekskluzivan mini hotel s restoranom, na prvoj liniji do mora – Bjelila, Tivat",http://svetioniknekretnine.com/prop...Danijela,+382 69 36 55 35,1833210,"2 Jan, 2021","https://www.realitica.com/images/listing_photos/1833210_villa-for-sale-house-tivat-montenegro-k607--21-.jpg,https://www.realitica.com/images/listing_photos/1833210_villa-for-sale-house-tivat-montenegro-k607--2-.jpg,https://www.realitica.com/images/listing_photos/1833210_villa-for-sale-house-tivat-montenegro-k607--51-.jpg,https://www.realitica.com/images/listing_photos/1833210_villa-for-sale-house-tivat-montenegro-k607--53-.jpg",https://www.realitica.com/hr/listing/1833210
Prodajem Hotel,Budva,Nema Podataka,25,26,€3.200.000,850 m,600 m,Nema Podataka,800,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva","Izgradnja hotela započeta je 2019 godine , završetak planiran 2021 godine.",https://amforaproperty.com/properti...AMFORA REAL ESTATE,+38268284708,2452103,"24 Nov, 2020","https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.26--1-.jpeg,https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.27--3-.jpeg,https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.20.jpeg,https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.23--3-.jpeg,https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.24--1-.jpeg,https://www.realitica.com/images/listing_photos/2452103_whatsapp-image-2020-11-24-at-14.50.27--2-.jpeg",https://www.realitica.com/hr/listing/2452103
